ID,Município,Total de Pessoas atendidas pelo SUS,População,Porcentagem da população atendida pelo SUS,PIB,População exposta ao risco
87,Itapagé,1070,,N/A%,,
88,Itapipoca,7620,131123.0,5.81%,13547.33,0.0
89,Itapiúna,1178,17841.0,6.6%,8246.45,0.0
90,Itarema,3080,42957.0,7.17%,18001.79,0.0
91,Itatira,1591,20424.0,7.79%,7903.96,0.0
92,Jaguaretama,831,17232.0,4.82%,12498.97,0.0
93,Jaguaribara,441,10356.0,4.26%,13298.99,0.0
94,Jaguaribe,1214,33726.0,3.6%,16222.68,0.0
95,Jaguaruana,1544,31701.0,4.87%,16694.97,4092.0
96,Jardim,1655,27411.0,6.04%,10819.64,0.0
97,Jati,335,7861.0,4.26%,15917.63,0.0
98,Jijoca De Jericoacoara,746,25555.0,2.92%,27106.16,0.0
99,Juazeiro Do Norte,4495,286120.0,1.57%,18381.08,3567.0
100,Jucás,1297,23922.0,5.42%,12801.05,0.0
101,Lavras Da Mangabeira,1484,30802.0,4.82%,10906.84,2427.0
102,Limoeiro Do Norte,1719,59560.0,2.89%,23631.38,94.0
103,Madalena,1015,16896.0,6.01%,8728.0,0.0
104,Maracanaú,4403,234509.0,1.88%,53410.24,568.0
105,Maranguape,3728,105093.0,3.55%,12527.08,0.0
106,Marco,1509,25799.0,5.85%,14052.51,1646.0
107,Martinópole,703,10846.0,6.48%,8444.53,0.0
108,Massapê,1492,37697.0,3.96%,9626.56,0.0
109,Mauriti,2587,45561.0,5.68%,10698.7,0.0
110,Meruoca,656,15157.0,4.33%,8445.56,1550.0
111,Milagres,1572,25900.0,6.07%,10477.64,0.0
112,Milhã,613,14123.0,4.34%,14874.7,0.0
113,Miraíma,734,14196.0,5.17%,8062.95,0.0
114,Missão Velha,1921,36822.0,5.22%,14506.46,53.0
115,Mombaça,1829,37735.0,4.85%,10174.82,0.0
116,Monsenhor Tabosa,1106,17149.0,6.45%,9308.34,0.0
117,Morada Nova,2025,61443.0,3.3%,20731.68,5549.0
118,Moraújo,518,8254.0,6.28%,8555.95,687.0
119,Morrinhos,1032,22753.0,4.54%,8462.73,2174.0
120,Mucambo,387,13666.0,2.83%,9016.67,0.0
121,Mulungu,680,10569.0,6.43%,11197.64,0.0
122,Nova Olinda,880,15399.0,5.71%,10341.85,0.0
123,Nova Russas,967,30699.0,3.15%,10371.24,0.0
124,Novo Oriente,1580,27545.0,5.74%,9854.38,0.0
125,Ocara,882,24493.0,3.6%,10972.95,0.0
126,Orós,1303,19675.0,6.62%,10256.74,0.0
127,Pacajus,1682,70983.0,2.37%,18349.45,0.0
128,Pacatuba,1662,81524.0,2.04%,14421.49,0.0
129,Pacoti,528,11186.0,4.72%,12049.56,279.0
130,Pacujá,255,6175.0,4.13%,9130.3,1361.0
131,Palhano,389,9346.0,4.16%,10443.35,0.0
132,Palmácia,628,10242.0,6.13%,8494.35,0.0
133,Paracuru,1365,38980.0,3.5%,15648.56,0.0
134,Paraipaba,1384,32216.0,4.3%,16102.82,0.0
135,Parambu,900,31445.0,2.86%,9196.54,0.0
136,Paramoti,632,10384.0,6.09%,9034.57,0.0
137,Pedra Branca,1824,40187.0,4.54%,8992.69,0.0
138,Penaforte,753,8972.0,8.39%,13268.38,0.0
139,Pentecoste,1381,37813.0,3.65%,12741.76,0.0
140,Pereiro,604,15274.0,3.95%,34273.12,0.0
141,Pindoretama,1172,23391.0,5.01%,13110.66,0.0
142,Piquet Carneiro,532,16616.0,3.2%,9418.47,0.0
143,Pires Ferreira,381,10606.0,3.59%,7621.25,0.0
144,Poranga,672,12065.0,5.57%,8852.69,0.0
145,Porteiras,866,17050.0,5.08%,12491.62,0.0
146,Potengi,446,8833.0,5.05%,9903.27,0.0
147,Potiretama,249,5974.0,4.17%,14998.54,0.0
148,Quiterianópolis,833,20213.0,4.12%,8694.35,0.0
149,Quixadá,4018,84168.0,4.77%,12484.6,0.0
150,Quixelô,663,15910.0,4.17%,12336.81,0.0
151,Quixeramobim,2621,82177.0,3.19%,17008.8,1357.0
152,Quixeré,542,20874.0,2.6%,28397.62,106.0
153,Redenção,1200,27214.0,4.41%,14018.29,0.0
154,Reriutaba,760,18606.0,4.08%,10433.27,0.0
155,Russas,1260,72928.0,1.73%,14563.46,309.0
156,Saboeiro,765,13854.0,5.52%,10779.74,0.0
157,Salitre,1280,16633.0,7.7%,9529.97,0.0
158,Santana Do Acaraú,1955,30628.0,6.38%,8525.54,0.0
159,Santana Do Cariri,1234,16954.0,7.28%,8985.52,0.0
160,Santa Quitéria,1797,40183.0,4.47%,14495.07,0.0
161,São Benedito,2028,47640.0,4.26%,12970.59,0.0
162,São Gonçalo Do Amarante,1280,54143.0,2.36%,175103.17,0.0
163,São João Do Jaguaribe,111,5855.0,1.9%,14277.9,0.0
164,São Luís Do Curu,526,10822.0,4.86%,10171.88,0.0
165,Senador Pompeu,958,24266.0,3.95%,13859.14,0.0
166,Senador Sá,415,7262.0,5.71%,8090.43,0.0
167,Sobral,3789,203023.0,1.87%,25396.38,10494.0
168,Solonópole,497,18179.0,2.73%,16492.67,0.0
169,Tabuleiro Do Norte,997,30652.0,3.25%,14046.37,696.0
170,Tamboril,1397,24815.0,5.63%,10773.18,0.0
171,Tarrafas,405,7529.0,5.38%,10015.43,0.0
172,Tauá,1328,61227.0,2.17%,12012.28,0.0
173,Tejuçuoca,1343,17154.0,7.83%,7006.68,0.0
174,Tianguá,3926,81506.0,4.82%,22470.08,0.0
175,Trairi,4377,58415.0,7.49%,19683.75,0.0
176,Tururu,1008,15412.0,6.54%,8324.01,0.0
177,Ubajara,1694,32767.0,5.17%,18190.85,0.0
178,Umari,406,6871.0,5.91%,8971.66,0.0
179,Umirim,1074,17470.0,6.15%,8650.25,0.0
180,Uruburetama,1524,20189.0,7.55%,13475.87,0.0
181,Uruoca,735,13746.0,5.35%,21318.78,0.0
182,Varjota,675,18105.0,3.73%,20292.61,0.0
183,Várzea Alegre,874,38984.0,2.24%,11395.42,0.0
184,Viçosa Do Ceará,2899,59712.0,4.85%,9744.18,197.0
