ID,Município,Total de Pessoas atendidas pelo SUS,População,Porcentagem da população atendida pelo SUS,PIB
99,Juazeiro Do Norte,4495,286120,1.57%,18381.08
100,Jucás,1297,23922,5.42%,12801.05
101,Lavras Da Mangabeira,1484,30802,4.82%,10906.84
102,Limoeiro Do Norte,1719,59560,2.89%,23631.38
103,Madalena,1015,16896,6.01%,8728
104,Maracanaú,4403,234509,1.88%,53410.24
105,Maranguape,3728,105093,3.55%,12527.08
106,Marco,1509,25799,5.85%,14052.51
107,Martinópole,703,10846,6.48%,8444.53
108,Massapê,1492,37697,3.96%,9626.56
109,Mauriti,2587,45561,5.68%,10698.7
110,Meruoca,656,15157,4.33%,8445.56
111,Milagres,1572,25900,6.07%,10477.64
112,Milhã,613,14123,4.34%,14874.7
113,Miraíma,734,14196,5.17%,8062.95
114,Missão Velha,1921,36822,5.22%,14506.46
115,Mombaça,1829,37735,4.85%,10174.82
116,Monsenhor Tabosa,1106,17149,6.45%,9308.34
117,Morada Nova,2025,61443,3.3%,20731.68
118,Moraújo,518,8254,6.28%,8555.95
119,Morrinhos,1032,22753,4.54%,8462.73
120,Mucambo,387,13666,2.83%,9016.67
121,Mulungu,680,10569,6.43%,11197.64
122,Nova Olinda,880,15399,5.71%,10341.85
123,Nova Russas,967,30699,3.15%,10371.24
124,Novo Oriente,1580,27545,5.74%,9854.38
125,Ocara,882,24493,3.6%,10972.95
126,Orós,1303,19675,6.62%,10256.74
127,Pacajus,1682,70983,2.37%,18349.45
128,Pacatuba,1662,81524,2.04%,14421.49
129,Pacoti,528,11186,4.72%,12049.56
130,Pacujá,255,6175,4.13%,9130.3
131,Palhano,389,9346,4.16%,10443.35
132,Palmácia,628,10242,6.13%,8494.35
133,Paracuru,1365,38980,3.5%,15648.56
134,Paraipaba,1384,32216,4.3%,16102.82
135,Parambu,900,31445,2.86%,9196.54
136,Paramoti,632,10384,6.09%,9034.57
137,Pedra Branca,1824,40187,4.54%,8992.69
138,Penaforte,753,8972,8.39%,13268.38
139,Pentecoste,1381,37813,3.65%,12741.76
140,Pereiro,604,15274,3.95%,34273.12
141,Pindoretama,1172,23391,5.01%,13110.66
142,Piquet Carneiro,532,16616,3.2%,9418.47
143,Pires Ferreira,381,10606,3.59%,7621.25
144,Poranga,672,12065,5.57%,8852.69
145,Porteiras,866,17050,5.08%,12491.62
146,Potengi,446,8833,5.05%,9903.27
147,Potiretama,249,5974,4.17%,14998.54
148,Quiterianópolis,833,20213,4.12%,8694.35
149,Quixadá,4018,84168,4.77%,12484.6
150,Quixelô,663,15910,4.17%,12336.81
151,Quixeramobim,2621,82177,3.19%,17008.8
152,Quixeré,542,20874,2.6%,28397.62
153,Redenção,1200,27214,4.41%,14018.29
154,Reriutaba,760,18606,4.08%,10433.27
155,Russas,1260,72928,1.73%,14563.46
156,Saboeiro,765,13854,5.52%,10779.74
157,Salitre,1280,16633,7.7%,9529.97
158,Santana Do Acaraú,1955,30628,6.38%,8525.54
159,Santana Do Cariri,1234,16954,7.28%,8985.52
160,Santa Quitéria,1797,40183,4.47%,14495.07
161,São Benedito,2028,47640,4.26%,12970.59
162,São Gonçalo Do Amarante,1280,54143,2.36%,175103.17
163,São João Do Jaguaribe,111,5855,1.9%,14277.9
164,São Luís Do Curu,526,10822,4.86%,10171.88
165,Senador Pompeu,958,24266,3.95%,13859.14
166,Senador Sá,415,7262,5.71%,8090.43
167,Sobral,3789,203023,1.87%,25396.38
168,Solonópole,497,18179,2.73%,16492.67
169,Tabuleiro Do Norte,997,30652,3.25%,14046.37
170,Tamboril,1397,24815,5.63%,10773.18
171,Tarrafas,405,7529,5.38%,10015.43
172,Tauá,1328,61227,2.17%,12012.28
173,Tejuçuoca,1343,17154,7.83%,7006.68
174,Tianguá,3926,81506,4.82%,22470.08
175,Trairi,4377,58415,7.49%,19683.75
176,Tururu,1008,15412,6.54%,8324.01
177,Ubajara,1694,32767,5.17%,18190.85
178,Umari,406,6871,5.91%,8971.66
179,Umirim,1074,17470,6.15%,8650.25
180,Uruburetama,1524,20189,7.55%,13475.87
181,Uruoca,735,13746,5.35%,21318.78
182,Varjota,675,18105,3.73%,20292.61
183,Várzea Alegre,874,38984,2.24%,11395.42
184,Viçosa Do Ceará,2899,59712,4.85%,9744.18
